newID,Study_Number,Utterance_Number,Search_Task,Task_Order,System_Number,Action,Speaker,Content,Duration,Speech_Act,Search_Action
1,1,1,Sickness,0,0,Speech,User,Hi Joanna,6,S12,
2,1,2,Sickness,0,0,Speech,Agent," Hi, I am Joanna. How may I help you Today,",4,S12,
3,1,3,Sickness,0,0,Speech,User, I have been sneezing every morning and have red watery eyes. Could you tell me the reason for this and probably some medicine or home remedies that I could do,7,S1,
4,1,,Sickness,0,0,Search,Agent,,25,,SR3
5,1,4,Sickness,0,0,Speech,Agent," Okay, Please let me look into it. Give me a few minutes.",34,S2,
6,1,5,Sickness,0,0,Speech,Agent," This is from Cigna.. Allergic rhinitis, often called allergies or hay fever occurs when your immune system overreacts to the particles in the air that you breathe. You are alergic to them. Your immune system attacks the particles in your body, causing symptoms such as sneezing and runny nose",19,S4,
7,1,6,Sickness,0,0,Speech,User," Uh, Can you suggest me some medicines or home remedies for this",9,S1,
8,1,7,Sickness,0,0,Speech,Agent, Okay. Please let me look into it.,9,S2,
9,1,,Sickness,0,0,Search,Agent,,12,,SR4
10,1,,Sickness,0,0,Search,Agent,,5,,SR3
12,1,8,Sickness,0,0,Speech,Agent, There is no permanent cure for allergic rhinitis. One of the best things you can dio is to avoid the things that cause your allergies.  The home treatments are you could use a dehumidifier for a high efficiency particular air filter. Eye drops and nasal sprays can also help relieve itchiness.,24,S4,
13,1,9,Sickness,0,0,Speech,User, Thank you Joanna,8,S7,
14,1,1,Conference,1,0,Speech,User,Hi Joanna,5,S12,
15,1,2,Conference,1,0,Speech,Agent," Hi, I am Joanna. How may I help you today?",5,S12,
16,1,3,Conference,1,0,Speech,User,Hi Joanna I need some help regarding a conference that I need to go… I am planning to attend an artificial intelligence conference sometime in early 2020. Can you suggest me some options around that,25,S1,
17,1,4,Conference,1,0,Speech,Agent, Can you restate your question?,4,S9,
18,1,5,Conference,1,0,Speech,User, I'm interested in attending a conference on artificial intelligence in early 2020 in North America. Can you provide me some options?,1,S9,
19,1,,Conference,1,0,Search,Agent,,37,,SR3
20,1,6,Conference,1,0,Speech,Agent," Okay, Please let me look into it.",25,S2,
